Freq.	V(n001)
6.36751540508327e+01	(-5.04531781267884e+01dB,1.79999624217763e+02°)
6.38219404405668e+01	(-5.04531781267893e+01dB,1.79999623351495e+02°)
6.39690652078759e+01	(-5.04531781267902e+01dB,1.79999622483231e+02°)
6.41165291328007e+01	(-5.04531781267910e+01dB,1.79999621612965e+02°)
6.42643329971804e+01	(-5.04531781267919e+01dB,1.79999620740693e+02°)
6.44124775846563e+01	(-5.04531781267928e+01dB,1.79999619866410e+02°)
6.45609636806763e+01	(-5.04531781267937e+01dB,1.79999618990111e+02°)
6.47097920724989e+01	(-5.04531781267946e+01dB,1.79999618111793e+02°)
6.48589635491974e+01	(-5.04531781267954e+01dB,1.79999617231450e+02°)
6.50084789016641e+01	(-5.04531781267963e+01dB,1.79999616349077e+02°)
6.51583389226146e+01	(-5.04531781267972e+01dB,1.79999615464670e+02°)
6.53085444065917e+01	(-5.04531781267981e+01dB,1.79999614578225e+02°)
6.54590961499700e+01	(-5.04531781267990e+01dB,1.79999613689736e+02°)
6.56099949509598e+01	(-5.04531781268000e+01dB,1.79999612799199e+02°)
6.57612416096115e+01	(-5.04531781268009e+01dB,1.79999611906609e+02°)
6.59128369278200e+01	(-5.04531781268018e+01dB,1.79999611011961e+02°)
6.60647817093284e+01	(-5.04531781268027e+01dB,1.79999610115251e+02°)
6.62170767597328e+01	(-5.04531781268036e+01dB,1.79999609216474e+02°)
6.63697228864866e+01	(-5.04531781268046e+01dB,1.79999608315625e+02°)
6.65227208989041e+01	(-5.04531781268055e+01dB,1.79999607412699e+02°)
6.66760716081658e+01	(-5.04531781268065e+01dB,1.79999606507692e+02°)
6.68297758273217e+01	(-5.04531781268074e+01dB,1.79999605600598e+02°)
6.69838343712963e+01	(-5.04531781268084e+01dB,1.79999604691414e+02°)
6.71382480568928e+01	(-5.04531781268093e+01dB,1.79999603780133e+02°)
6.72930177027970e+01	(-5.04531781268103e+01dB,1.79999602866752e+02°)
6.74481441295823e+01	(-5.04531781268112e+01dB,1.79999601951265e+02°)
6.76036281597134e+01	(-5.04531781268122e+01dB,1.79999601033668e+02°)
6.77594706175514e+01	(-5.04531781268132e+01dB,1.79999600113956e+02°)
6.79156723293573e+01	(-5.04531781268141e+01dB,1.79999599192123e+02°)
6.80722341232971e+01	(-5.04531781268151e+01dB,1.79999598268166e+02°)
6.82291568294458e+01	(-5.04531781268161e+01dB,1.79999597342078e+02°)
6.83864412797920e+01	(-5.04531781268171e+01dB,1.79999596413856e+02°)
6.85440883082422e+01	(-5.04531781268181e+01dB,1.79999595483494e+02°)
6.87020987506253e+01	(-5.04531781268191e+01dB,1.79999594550987e+02°)
6.88604734446969e+01	(-5.04531781268201e+01dB,1.79999593616330e+02°)
6.90192132301438e+01	(-5.04531781268211e+01dB,1.79999592679519e+02°)
6.91783189485886e+01	(-5.04531781268221e+01dB,1.79999591740549e+02°)
6.93377914435940e+01	(-5.04531781268231e+01dB,1.79999590799413e+02°)
6.94976315606672e+01	(-5.04531781268242e+01dB,1.79999589856109e+02°)
6.96578401472647e+01	(-5.04531781268252e+01dB,1.79999588910629e+02°)
6.98184180527964e+01	(-5.04531781268262e+01dB,1.79999587962971e+02°)
6.99793661286304e+01	(-5.04531781268273e+01dB,1.79999587013127e+02°)
7.01406852280974e+01	(-5.04531781268283e+01dB,1.79999586061094e+02°)
7.03023762064952e+01	(-5.04531781268293e+01dB,1.79999585106866e+02°)
7.04644399210932e+01	(-5.04531781268304e+01dB,1.79999584150439e+02°)
7.06268772311372e+01	(-5.04531781268315e+01dB,1.79999583191807e+02°)
7.07896889978536e+01	(-5.04531781268325e+01dB,1.79999582230964e+02°)
7.09528760844541e+01	(-5.04531781268336e+01dB,1.79999581267907e+02°)
7.11164393561405e+01	(-5.04531781268347e+01dB,1.79999580302630e+02°)
7.12803796801089e+01	(-5.04531781268357e+01dB,1.79999579335128e+02°)
7.14446979255546e+01	(-5.04531781268368e+01dB,1.79999578365395e+02°)
7.16093949636766e+01	(-5.04531781268379e+01dB,1.79999577393427e+02°)
7.17744716676822e+01	(-5.04531781268390e+01dB,1.79999576419218e+02°)
7.19399289127917e+01	(-5.04531781268401e+01dB,1.79999575442764e+02°)
7.21057675762429e+01	(-5.04531781268412e+01dB,1.79999574464058e+02°)
7.22719885372958e+01	(-5.04531781268423e+01dB,1.79999573483097e+02°)
7.24385926772375e+01	(-5.04531781268434e+01dB,1.79999572499874e+02°)
7.26055808793865e+01	(-5.04531781268445e+01dB,1.79999571514384e+02°)
7.27729540290977e+01	(-5.04531781268456e+01dB,1.79999570526623e+02°)
7.29407130137668e+01	(-5.04531781268468e+01dB,1.79999569536584e+02°)
7.31088587228353e+01	(-5.04531781268479e+01dB,1.79999568544264e+02°)
7.32773920477950e+01	(-5.04531781268490e+01dB,1.79999567549655e+02°)
7.34463138821927e+01	(-5.04531781268502e+01dB,1.79999566552754e+02°)
7.36156251216353e+01	(-5.04531781268513e+01dB,1.79999565553555e+02°)
7.37853266637941e+01	(-5.04531781268525e+01dB,1.79999564552053e+02°)
7.39554194084097e+01	(-5.04531781268536e+01dB,1.79999563548242e+02°)
7.41259042572970e+01	(-5.04531781268548e+01dB,1.79999562542116e+02°)
7.42967821143497e+01	(-5.04531781268560e+01dB,1.79999561533672e+02°)
7.44680538855451e+01	(-5.04531781268571e+01dB,1.79999560522903e+02°)
7.46397204789491e+01	(-5.04531781268583e+01dB,1.79999559509803e+02°)
7.48117828047210e+01	(-5.04531781268595e+01dB,1.79999558494368e+02°)
7.49842417751180e+01	(-5.04531781268607e+01dB,1.79999557476593e+02°)
7.51570983045004e+01	(-5.04531781268619e+01dB,1.79999556456471e+02°)
7.53303533093364e+01	(-5.04531781268631e+01dB,1.79999555433998e+02°)
7.55040077082067e+01	(-5.04531781268643e+01dB,1.79999554409167e+02°)
7.56780624218097e+01	(-5.04531781268655e+01dB,1.79999553381974e+02°)
7.58525183729661e+01	(-5.04531781268667e+01dB,1.79999552352413e+02°)
7.60273764866241e+01	(-5.04531781268679e+01dB,1.79999551320479e+02°)
7.62026376898638e+01	(-5.04531781268692e+01dB,1.79999550286166e+02°)
7.63783029119029e+01	(-5.04531781268704e+01dB,1.79999549249468e+02°)
7.65543730841008e+01	(-5.04531781268717e+01dB,1.79999548210381e+02°)
7.67308491399640e+01	(-5.04531781268729e+01dB,1.79999547168899e+02°)
7.69077320151510e+01	(-5.04531781268741e+01dB,1.79999546125015e+02°)
7.70850226474772e+01	(-5.04531781268754e+01dB,1.79999545078725e+02°)
7.72627219769199e+01	(-5.04531781268767e+01dB,1.79999544030023e+02°)
7.74408309456233e+01	(-5.04531781268779e+01dB,1.79999542978904e+02°)
7.76193504979033e+01	(-5.04531781268792e+01dB,1.79999541925362e+02°)
7.77982815802529e+01	(-5.04531781268805e+01dB,1.79999540869390e+02°)
7.79776251413469e+01	(-5.04531781268818e+01dB,1.79999539810985e+02°)
7.81573821320469e+01	(-5.04531781268831e+01dB,1.79999538750140e+02°)
7.83375535054067e+01	(-5.04531781268844e+01dB,1.79999537686849e+02°)
7.85181402166768e+01	(-5.04531781268857e+01dB,1.79999536621107e+02°)
7.86991432233102e+01	(-5.04531781268870e+01dB,1.79999535552909e+02°)
7.88805634849666e+01	(-5.04531781268883e+01dB,1.79999534482247e+02°)
7.90624019635184e+01	(-5.04531781268896e+01dB,1.79999533409118e+02°)
7.92446596230549e+01	(-5.04531781268910e+01dB,1.79999532333515e+02°)
7.94273374298881e+01	(-5.04531781268923e+01dB,1.79999531255432e+02°)
7.96104363525577e+01	(-5.04531781268936e+01dB,1.79999530174865e+02°)
7.97939573618358e+01	(-5.04531781268950e+01dB,1.79999529091806e+02°)
7.99779014307326e+01	(-5.04531781268963e+01dB,1.79999528006250e+02°)
8.01622695345012e+01	(-5.04531781268977e+01dB,1.79999526918192e+02°)
8.03470626506430e+01	(-5.04531781268991e+01dB,1.79999525827626e+02°)
8.05322817589127e+01	(-5.04531781269004e+01dB,1.79999524734546e+02°)
8.07179278413235e+01	(-5.04531781269018e+01dB,1.79999523638946e+02°)
8.09040018821524e+01	(-5.04531781269032e+01dB,1.79999522540820e+02°)
8.10905048679456e+01	(-5.04531781269046e+01dB,1.79999521440163e+02°)
8.12774377875233e+01	(-5.04531781269060e+01dB,1.79999520336969e+02°)
8.14648016319852e+01	(-5.04531781269074e+01dB,1.79999519231231e+02°)
8.16525973947158e+01	(-5.04531781269088e+01dB,1.79999518122945e+02°)
8.18408260713895e+01	(-5.04531781269102e+01dB,1.79999517012104e+02°)
8.20294886599760e+01	(-5.04531781269117e+01dB,1.79999515898702e+02°)
8.22185861607456e+01	(-5.04531781269131e+01dB,1.79999514782733e+02°)
8.24081195762745e+01	(-5.04531781269145e+01dB,1.79999513664191e+02°)
8.25980899114498e+01	(-5.04531781269160e+01dB,1.79999512543072e+02°)
8.27884981734755e+01	(-5.04531781269174e+01dB,1.79999511419367e+02°)
8.29793453718771e+01	(-5.04531781269189e+01dB,1.79999510293073e+02°)
8.31706325185075e+01	(-5.04531781269203e+01dB,1.79999509164182e+02°)
8.33623606275522e+01	(-5.04531781269218e+01dB,1.79999508032688e+02°)
8.35545307155344e+01	(-5.04531781269233e+01dB,1.79999506898586e+02°)
8.37471438013209e+01	(-5.04531781269248e+01dB,1.79999505761870e+02°)
8.39402009061270e+01	(-5.04531781269263e+01dB,1.79999504622534e+02°)
8.41337030535224e+01	(-5.04531781269278e+01dB,1.79999503480571e+02°)
8.43276512694360e+01	(-5.04531781269293e+01dB,1.79999502335975e+02°)
8.45220465821622e+01	(-5.04531781269308e+01dB,1.79999501188741e+02°)
8.47168900223654e+01	(-5.04531781269323e+01dB,1.79999500038862e+02°)
8.49121826230862e+01	(-5.04531781269338e+01dB,1.79999498886333e+02°)
8.51079254197465e+01	(-5.04531781269354e+01dB,1.79999497731147e+02°)
8.53041194501551e+01	(-5.04531781269369e+01dB,1.79999496573297e+02°)
8.55007657545133e+01	(-5.04531781269385e+01dB,1.79999495412779e+02°)
8.56978653754202e+01	(-5.04531781269400e+01dB,1.79999494249585e+02°)
8.58954193578783e+01	(-5.04531781269416e+01dB,1.79999493083710e+02°)
8.60934287492993e+01	(-5.04531781269431e+01dB,1.79999491915147e+02°)
8.62918945995091e+01	(-5.04531781269447e+01dB,1.79999490743891e+02°)
8.64908179607540e+01	(-5.04531781269463e+01dB,1.79999489569934e+02°)
8.66901998877058e+01	(-5.04531781269479e+01dB,1.79999488393272e+02°)
8.68900414374677e+01	(-5.04531781269495e+01dB,1.79999487213896e+02°)
8.70903436695796e+01	(-5.04531781269511e+01dB,1.79999486031802e+02°)
8.72911076460241e+01	(-5.04531781269527e+01dB,1.79999484846983e+02°)
8.74923344312317e+01	(-5.04531781269543e+01dB,1.79999483659433e+02°)
8.76940250920869e+01	(-5.04531781269559e+01dB,1.79999482469145e+02°)
8.78961806979335e+01	(-5.04531781269576e+01dB,1.79999481276113e+02°)
8.80988023205803e+01	(-5.04531781269592e+01dB,1.79999480080331e+02°)
8.83018910343071e+01	(-5.04531781269609e+01dB,1.79999478881792e+02°)
8.85054479158699e+01	(-5.04531781269625e+01dB,1.79999477680491e+02°)
